Date,Boeing,McDonalds,Nike,Walmart
43075,274.17392,170.23851,59.228176,95.042221
43076,277.819427,169.679184,60.100922,95.052048
43077,281.691589,169.914673,60.795158,94.826164
43080,278.991913,170.012817,61.400131,95.199371
43081,285.67215,169.011871,61.657993,94.973473
43082,287.544159,170.30722,63.770458,96.014557
43083,289.554108,169.904861,63.998554,95.395798
43084,289.613251,170.807678,64.256409,95.37616
43087,291.780884,170.945053,64.276245,96.152054
43088,292.874542,170.150192,63.710945,97.035988
43089,293.514923,168.953003,63.066296,96.986877
43090,290.687195,168.638962,64.23658,96.309196
43091,290.756195,168.21701,62.768768,96.45652
43095,291.012329,168.089432,63.125809,97.389557
43096,291.268494,169.443649,62.431568,97.487778
43097,291.987762,169.865631,62.431568,97.625275
43098,290.56897,168.903915,62.034863,96.986877
43102,292.470551,169.983368,62.967121,96.829727
43103,293.416412,169.267014,62.957203,97.674377
43104,292.30307,170.454407,62.917534,97.762772
43105,304.293915,170.797867,63.453087,98.342232
43108,305.584656,170.680099,64.018394,99.795815
43109,313.742767,170.297394,63.562176,98.597603
43110,315.545807,170.26796,63.691116,97.890442
43111,323.2901,170.150192,63.760536,98.2342
43112,331.261017,170.326843,64.137405,99.069023
43116,330.226501,170.434784,62.897697,98.892235
43117,345.843201,171.710495,63.284485,100.866348
43118,335.152893,171.308151,63.582016,102.43779
43119,332.758667,172.829178,66.656494,102.722603
43122,333.024689,172.917511,65.843239,103.567253
43123,330.650146,173.506287,66.587059,104.009224
43124,329.763428,172.829178,67.43998,103.901176
43125,338.059448,172.377792,67.152374,104.696709
43126,338.167847,175.027328,67.479652,106.454758
43129,335.803192,174.448364,67.023438,107.594048
43130,332.738953,169.257187,66.775497,105.806549
43131,349.153717,167.94223,67.658165,104.696709
43132,351.685883,168.688034,67.092865,103.636002
43133,343.774078,166.215134,66.666405,102.614571
43136,324.03894,160.788452,63.859707,98.302956
43137,335.891846,162.093582,64.682877,99.098495
43138,342.995697,162.613693,65.0895,101.013672
43139,326.410828,155.999634,61.975361,98.2342
43140,329.549561,157.795456,64.950653,97.59581
43143,340.411438,160.837509,65.436615,97.772591
43144,339.77774,159.36554,65.327522,99.177071
43145,341.451111,157.000595,67.400307,99.884201
43146,352.946655,157.775818,67.727592,101.386894
43147,351.54068,154.841675,67.737518,102.90921
43151,349.86731,154.223465,66.934181,92.429718
43152,348.896973,155.675812,66.49781,89.885956
43153,352.411987,157.658066,66.577141,91.113647
43154,353.144684,160.013214,67.598663,91.231506
43157,359.897491,160.523514,69.076385,91.457397
43158,361.046051,157.658066,67.469734,89.885956
43159,358.639954,155.771896,66.477966,88.402924
43160,346.243408,153.757339,65.773811,87.489532
43161,341.272858,146.420059,65.545013,87.185066
43164,349.273224,149.145615,64.709419,88.373466
43165,345.480988,149.313492,64.898422,87.469879
43166,343.619507,150.478775,63.834026,86.173447
43167,345.292847,152.513077,64.769104,86.865051
43168,351.025757,155.278137,65.952881,87.655457
43171,340.797577,155.771896,66.470154,87.013252
43172,335.332001,156.245911,65.823555,87.240494
43173,327.004913,156.265671,65.853394,86.61805
43174,326.727661,159.593597,66.042404,86.459976
43175,327.21283,160.334244,65.564919,88.10006
